line,station,property_name,bedrooms,livingrooms,building_area,directions1,directions2,decoration,has_elevator,hml,building_height,building_year,building_style,building_location,price_sqm,price_ttl,house,house2
6号线,华夏西路,金光小区,1,1,44.08,南,北,简装,0,中,6,1997,板楼,三林,69193,305,0,0
9号线,九亭,嘉和阳光城,2,2,103.18,南,,精装,1,低,14,2006,板楼,九亭,42160,435,0,0
9号线,七宝,万兆家园(五期),3,2,131.23,南,,毛坯,1,中,11,2005,板楼,七宝,64391,845,0,0
7号线,高科西路,浦三路732弄,2,1,71.58,南,,精装,0,低,6,1994,板楼,世博,55603,398,0,0
7号线,东安路,江南新村(徐汇),2,1,45.77,南,,简装,0,中,5,1954,板楼,斜土路,51344,235,0,0
5号线南延伸段,西渡,鸿宝二村,3,1,79.85,南,,简装,0,高,6,1994,板楼,西渡,21917,175,0,0
13号线,长寿路,上青佳园,1,2,60.09,南,,精装,1,低,9,2013,板楼,长寿路,89533,538,0,0
13号线,长清路,耀华路210-222号(双),3,0,69,南,,简装,0,中,6,1984,板楼,世博,55073,380,0,0
2号线,金科路,张江汤臣豪园(二期),3,2,107.56,南,,简装,1,高,16,2007,板楼,张江,88323,950,0,0
13号线,祁连山南路,泰宸苑,3,2,105.88,南,北,简装,0,低,7,1998,板楼,长征,52891,560,0,0
6号线,港城路,港城新苑,3,2,130.04,南,,精装,1,中,14,2008,板楼,外高桥,42295,550,0,0
10号线(新江湾城-虹桥火车站),南京东路,河滨大楼,3,2,173.8,南,西南,精装,1,中,11,1936,塔楼,四川北路,90910,1580,0,0
13号线,祁连山南路,建德花园玫瑰苑(公寓),2,2,95.27,南,北,毛坯,0,低,6,2005,板楼,长征,51433,490,0,0
2号线,川沙,妙栏路392弄,3,1,86.92,暂无数据,,简装,0,中,6,1997,板楼,川沙,36816,320,0,0
16号线,龙阳路,芳华小区,2,2,77.83,南,,简装,0,高,6,1998,板楼,北蔡,53964,420,0,0
13号线,下南路,大华锦绣华城(十街区),2,2,82.7,南,,简装,0,中,6,2005,板楼,北蔡,72310,598,0,0
6号线,博兴路,金桥湾清水苑,2,1,69.08,南,,精装,0,高,6,1998,板楼,金桥,60800,420,0,0
8号线,江浦路,凤城三村,1,1,40.02,南,,简装,0,低,5,2011,板楼,控江路,47477,190,0,0
8号线,鞍山新村,和平花苑,3,2,112.09,南,,简装,1,中,34,1997,塔楼,鞍山,74940,840,0,0
9号线,民雷路,民春苑,3,1,85.85,南,,毛坯,0,高,6,2005,板楼,曹路,32033,275,0,0
9号线,台儿庄路,金台三居,1,1,39.97,南,,简装,0,高,6,1985,板楼,金杨,45034,180,0,0
12号线,虹漕路,金桂苑(徐汇),3,2,155,南,,精装,1,低,24,1996,塔楼,康健,58065,900,0,0
13号线,新天地,翠湖天地御苑,3,2,148.82,南,北,精装,1,低,12,2006,板楼,新天地,154550,2300,0,0
10号线(新江湾城-虹桥火车站),水城路,翡翠公寓,3,2,134.57,南,,精装,0,低,4,1992,板楼,古北,57220,770,0,0
12号线,大连路,众和金融大厦,3,2,131.3,东南,,精装,1,中,30,1998,板楼,周家嘴路,64738,850,0,0
3号线,漕溪路,汇翠花园,3,2,175.21,南,北,精装,1,低,34,2003,板楼,徐家汇,100451,1760,0,0
8号线,市光路,市京一村,1,1,41.96,南,,毛坯,0,高,6,1995,板楼,中原,44567,187,0,0
11号线(花桥-三林),徐家汇,南丹公寓,2,2,84.62,南,,简装,0,中,7,1995,板楼,徐家汇,99268,840,0,0
11号线(花桥-三林),江苏路,金阳小区,1,1,46.75,南,,简装,0,中,7,1987,板楼,中山公园,74867,350,0,0
8号线,虹口足球场,同心路803弄,1,0,36.33,南,,精装,0,高,7,1991,板楼,凉城,44041,160,0,0
8号线,人民广场,淮海晶华苑,2,2,170,南,,简装,1,低,31,2006,板楼,新天地,104118,1770,0,0
6号线,五洲大道,金地未未来,2,2,89.31,南,,精装,1,中,15,2009,板楼,金桥,70541,630,0,0
13号线,武宁路,高荣小区,2,0,60.63,南,,毛坯,0,中,6,1987,板楼,曹家渡,97312,590,0,0
